County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
East Baton Rouge,Louisiana,7,2,0,0.0000000,30.5392654,-91.0921701,2020-03-21 00:57 EDT
St. John the Baptist,Louisiana,6,4,0,0.0000000,30.0786650,-90.5454132,2020-03-21 00:57 EDT
Lafayette,Louisiana,6,4,0,0.0000000,30.2067882,-92.0638937,2020-03-21 00:57 EDT
Lafourche,Louisiana,5,1,0,0.0000000,29.7652900,-90.7688100,2020-03-21 00:57 EDT
Bossier,Louisiana,5,3,0,0.0000000,32.6788619,-93.6053107,2020-03-21 00:57 EDT
St. Bernard,Louisiana,5,1,0,0.0000000,29.8671500,-89.8586800,2020-03-21 00:57 EDT
Ascension,Louisiana,3,1,0,0.0000000,30.2054934,-90.9088583,2020-03-21 00:57 EDT
West Baton Rouge,Louisiana,3,2,0,0.0000000,30.4501900,-91.2051100,2020-03-21 00:57 EDT
Calcasieu,Louisiana,3,3,0,0.0000000,30.2296992,-93.3579989,2020-03-21 00:57 EDT
Rapides,Louisiana,3,3,0,0.0000000,31.1984392,-92.5330860,2020-03-21 00:57 EDT
Washington,Louisiana,2,0,0,0.0000000,30.8533922,-90.0405045,2020-03-21 00:57 EDT
St. Landry,Louisiana,2,2,0,0.0000000,30.8443600,-92.2579000,2020-03-21 00:57 EDT
Iberia,Louisiana,2,2,0,0.0000000,29.8980112,-91.7295430,2020-03-21 00:57 EDT
De Soto,Louisiana,2,2,0,0.0000000,32.0563183,-93.7364113,2020-03-21 00:57 EDT
St. James,Louisiana,1,0,1,1.0000000,30.4182500,-91.0934400,2020-03-21 00:57 EDT
Plaquemines,Louisiana,1,0,0,0.0000000,29.4832751,-89.6525564,2020-03-21 00:57 EDT
Assumption,Louisiana,1,1,0,0.0000000,29.9008158,-91.0625918,2020-03-21 00:57 EDT
Iberville,Louisiana,1,1,0,0.0000000,30.2586118,-91.3539961,2020-03-21 00:57 EDT
Livingston,Louisiana,1,1,0,0.0000000,30.4502388,-90.7391483,2020-03-21 00:57 EDT
Webster,Louisiana,1,1,0,0.0000000,32.7135902,-93.3350925,2020-03-21 00:57 EDT
Catahoula,Louisiana,1,1,1,1.0000000,31.6663551,-91.8468593,2020-03-21 00:57 EDT
Tangipahoa,Louisiana,1,1,0,0.0000000,30.6454574,-90.4117734,2020-03-21 00:57 EDT
Acadia,Louisiana,0,0,0,,30.2905087,-92.4119770,2020-03-21 00:57 EDT
Fulton,Georgia,88,22,2,0.0227273,33.7902407,-84.4671100,2020-03-21 00:57 EDT
Bartow,Georgia,54,28,0,0.0000000,34.2376440,-84.8407294,2020-03-21 00:57 EDT
Cobb,Georgia,47,10,1,0.0212766,33.9414802,-84.5766374,2020-03-21 00:57 EDT
Dougherty,Georgia,44,24,4,0.0909091,31.5333249,-84.2162944,2020-03-21 00:57 EDT
DeKalb,Georgia,36,14,0,0.0000000,33.7715373,-84.2264653,2020-03-21 00:57 EDT
Gwinnett,Georgia,23,11,0,0.0000000,33.9611888,-84.0235873,2020-03-21 00:57 EDT
Cherokee,Georgia,16,0,0,0.0000000,34.2439897,-84.4762441,2020-03-21 00:57 EDT
Lee,Georgia,13,10,0,0.0000000,31.7795972,-84.1408802,2020-03-21 00:57 EDT
Clarke,Georgia,10,2,0,0.0000000,33.9511057,-83.3674122,2020-03-21 00:57 EDT
Clayton,Georgia,10,4,0,0.0000000,33.5419730,-84.3576995,2020-03-21 00:57 EDT
Fayette,Georgia,9,-1,1,0.1111111,33.4139091,-84.4942725,2020-03-21 00:57 EDT
Richmond,Georgia,8,6,0,0.0000000,33.3596297,-82.0736164,2020-03-21 00:57 EDT
Floyd,Georgia,7,1,1,0.1428571,34.2632424,-85.2145276,2020-03-21 00:57 EDT
Lowndes,Georgia,7,-1,0,0.0000000,30.8336283,-83.2676955,2020-03-21 00:57 EDT
Carroll,Georgia,7,7,0,0.0000000,33.5826264,-85.0798231,2020-03-21 00:57 EDT
Coweta,Georgia,6,3,0,0.0000000,33.3536027,-84.7633669,2020-03-21 00:57 EDT
Henry,Georgia,6,3,0,0.0000000,33.4530163,-84.1542628,2020-03-21 00:57 EDT
Hall,Georgia,6,1,0,0.0000000,34.3204115,-83.8104354,2020-03-21 00:57 EDT
Newton,Georgia,4,1,0,0.0000000,33.5550066,-83.8502182,2020-03-21 00:57 EDT
Polk,Georgia,3,2,0,0.0000000,34.0016881,-85.1881097,2020-03-21 00:57 EDT
Gordon,Georgia,3,0,0,0.0000000,34.5031965,-84.8758788,2020-03-21 00:57 EDT
Forsyth,Georgia,3,0,0,0.0000000,34.2249323,-84.1334992,2020-03-21 00:57 EDT
Paulding,Georgia,3,0,0,0.0000000,33.9204246,-84.8672012,2020-03-21 00:57 EDT
Troup,Georgia,2,0,0,0.0000000,33.0335189,-85.0282617,2020-03-21 00:57 EDT
Columbia,Georgia,2,1,0,0.0000000,33.5372481,-82.2621961,2020-03-21 00:57 EDT
Houston,Georgia,2,1,0,0.0000000,32.4589464,-83.6661750,2020-03-21 00:57 EDT
Chatham,Georgia,2,2,0,0.0000000,32.0038144,-81.1330707,2020-03-21 00:57 EDT
Oconee,Georgia,2,2,0,0.0000000,33.8348602,-83.4370421,2020-03-21 00:57 EDT
Early,Georgia,2,0,1,0.5000000,31.3227559,-84.9036802,2020-03-21 00:57 EDT
Glynn,Georgia,2,0,0,0.0000000,31.2325826,-81.5426674,2020-03-21 00:57 EDT
Laurens,Georgia,2,0,0,0.0000000,32.4636882,-82.9221646,2020-03-21 00:57 EDT
Muscogee,Georgia,2,1,0,0.0000000,32.5099001,-84.8768688,2020-03-21 00:57 EDT
Spalding,Georgia,2,2,0,0.0000000,33.2608670,-84.2842111,2020-03-21 00:57 EDT
Worth,Georgia,2,2,0,0.0000000,31.5515888,-83.8509839,2020-03-21 00:57 EDT
Pickens,Georgia,2,2,0,0.0000000,34.4642849,-84.4656530,2020-03-21 00:57 EDT
Sumter,Georgia,2,2,0,0.0000000,32.0399387,-84.1970631,2020-03-21 00:57 EDT
Terrell,Georgia,2,2,0,0.0000000,31.7767617,-84.4367900,2020-03-21 00:57 EDT
Charlton,Georgia,1,0,0,0.0000000,30.7817109,-82.1377648,2020-03-21 00:57 EDT
Whitfield,Georgia,1,0,0,0.0000000,34.8055258,-84.9672104,2020-03-21 00:57 EDT
Barrow,Georgia,1,0,0,0.0000000,33.9932252,-83.7127253,2020-03-21 00:57 EDT
Turner,Georgia,1,1,0,0.0000000,31.7163534,-83.6240550,2020-03-21 00:57 EDT
Rockdale,Georgia,1,1,0,0.0000000,33.6542250,-84.0266835,2020-03-21 00:57 EDT
Bibb,Georgia,1,0,0,0.0000000,32.8066359,-83.6977590,2020-03-21 00:57 EDT
Peach,Georgia,1,0,0,0.0000000,32.5688118,-83.8267872,2020-03-21 00:57 EDT
Effingham,Georgia,1,1,0,0.0000000,32.3675565,-81.3412999,2020-03-21 00:57 EDT
Tift,Georgia,1,1,0,0.0000000,31.4573225,-83.5267209,2020-03-21 00:57 EDT
Miller,Georgia,1,1,0,0.0000000,31.1639441,-84.7306565,2020-03-21 00:57 EDT
