County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
Plaquemines,Louisiana,4,0,0,0,0.0000000,29.4832751,-89.6525564,2020/03/22 22:06 EDT
Calcasieu,Louisiana,4,0,0,0,0.0000000,30.2296992,-93.3579989,2020/03/22 22:06 EDT
West Baton Rouge,Louisiana,3,0,0,0,0.0000000,30.4501900,-91.2051100,2020/03/22 22:06 EDT
St. Landry,Louisiana,3,0,0,0,0.0000000,30.8443600,-92.2579000,2020/03/22 22:06 EDT
Tangipahoa,Louisiana,3,0,0,0,0.0000000,30.6454574,-90.4117734,2020/03/22 22:06 EDT
Washington,Louisiana,2,0,0,0,0.0000000,30.8533922,-90.0405045,2020/03/22 22:06 EDT
Iberia,Louisiana,2,0,0,0,0.0000000,29.8980112,-91.7295430,2020/03/22 22:06 EDT
Iberville,Louisiana,2,0,0,0,0.0000000,30.2586118,-91.3539961,2020/03/22 22:06 EDT
Livingston,Louisiana,2,0,0,0,0.0000000,30.4502388,-90.7391483,2020/03/22 22:06 EDT
Rapides,Louisiana,2,0,0,0,0.0000000,31.1984392,-92.5330860,2020/03/22 22:06 EDT
De Soto,Louisiana,2,0,0,0,0.0000000,32.0563183,-93.7364113,2020/03/22 22:06 EDT
Evangeline,Louisiana,2,0,0,0,0.0000000,30.7289500,-92.4058850,2020/03/22 22:06 EDT
Ouachita,Louisiana,2,0,0,0,0.0000000,32.4783165,-92.1548069,2020/03/22 22:06 EDT
St. James,Louisiana,1,0,1,1,1.0000000,30.4182500,-91.0934400,2020/03/22 22:06 EDT
Assumption,Louisiana,1,0,0,0,0.0000000,29.9008158,-91.0625918,2020/03/22 22:06 EDT
Webster,Louisiana,1,0,0,0,0.0000000,32.7135902,-93.3350925,2020/03/22 22:06 EDT
Catahoula,Louisiana,1,0,1,1,1.0000000,31.6663551,-91.8468593,2020/03/22 22:06 EDT
Avoyelles,Louisiana,1,0,0,0,0.0000000,31.0762885,-92.0013412,2020/03/22 22:06 EDT
Beauregard,Louisiana,1,0,0,0,0.0000000,30.6485016,-93.3433318,2020/03/22 22:06 EDT
Bienville,Louisiana,1,0,0,0,0.0000000,32.3472524,-93.0559190,2020/03/22 22:06 EDT
Claiborne,Louisiana,1,0,0,0,0.0000000,32.8227879,-92.9957612,2020/03/22 22:06 EDT
St. Mary,Louisiana,1,0,0,0,0.0000000,29.7133032,-91.4481388,2020/03/22 22:06 EDT
Acadia,Louisiana,0,0,0,0,,30.2905087,-92.4119770,2020/03/22 22:06 EDT
Dallas,Texas,131,36,3,3,0.0229008,32.7782200,-96.7951200,2020/03/22 22:06 EDT
