County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Bergen,New Jersey,40.9594915,-74.0744420,15,29,61,84,114,195,249,363,457,609,609,819,1206,1505,1838,2169,2482,3202,3494,4099,4866
Berkeley,South Carolina,33.1861106,-79.9398336,0,0,0,0,0,0,1,1,2,4,4,5,8,10,13,14,14,15,15,33,42
Berkeley,West Virginia,39.4640327,-78.0275232,0,0,0,0,0,0,0,0,0,0,0,2,2,9,10,10,14,16,16,27,37
Berknap,New Hampshire,43.5091960,-71.4307244,0,0,0,0,2,2,2,3,4,4,7,0,0,0,0,0,0,0,0,0,0
Berks,Pennsylvania,40.4163373,-75.9260454,0,0,0,0,1,1,5,7,13,14,14,20,36,65,65,68,82,110,151,168,201
Berkshire,Massachusetts,42.5110500,-73.1942600,9,9,11,14,17,18,20,21,23,26,26,71,73,105,119,151,162,171,171,213,240
Bernalillo,New Mexico,35.0512846,-106.6703125,5,6,10,14,16,20,23,32,34,38,38,48,55,82,93,101,117,129,129,163,202
Berrien,Georgia,31.2760610,-83.2297553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3
Berrien,Michigan,41.9546870,-86.4122229,0,0,0,0,0,0,0,2,3,5,5,10,11,18,22,29,32,35,38,40,52
Bertie,North Carolina,36.0675098,-76.9738181,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6,6,6,6
Bexar,Texas,29.4489207,-98.5200077,1,3,3,4,11,29,29,39,46,57,57,84,113,113,140,157,168,207,207,254,342
Bibb,Alabama,32.9986237,-87.1264305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4
Bibb,Georgia,32.8066359,-83.6977590,0,0,0,0,0,1,1,1,1,2,2,6,8,10,13,14,16,20,22,25,34
Bienville,Louisiana,32.3472524,-93.0559190,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,6,6,8,9
Big Stone,Minnesota,45.4261447,-96.4109648,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Bingham,Idaho,43.2186508,-112.3950328,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2
Black Hawk,Iowa,42.4478000,-92.3814000,0,0,0,1,1,1,1,3,3,3,3,4,5,7,6,6,6,7,7,8,8
Blackford,Indiana,40.4735884,-85.3248279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bladen,North Carolina,34.6143454,-78.5632349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Blaine,Idaho,43.4123346,-113.9798058,0,1,1,3,4,16,19,21,21,35,35,63,66,99,114,115,148,192,192,351,405
Blair,Pennsylvania,40.4810720,-78.3485777,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,4,4,4,4
Blanco,Texas,30.2663823,-98.3997593,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Bleckley,Georgia,32.4345373,-83.3278369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Bledsoe,Tennessee,35.5963882,-85.2052979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
Blount,Alabama,33.9808523,-86.5673912,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,5,5,6,9
Blount,Tennessee,35.6866439,-83.9237776,0,0,0,0,0,0,1,1,1,2,2,3,4,6,9,9,10,25,25,32,33
Blue earth,Minnesota,43.9505000,-93.9878000,0,0,1,1,2,2,2,3,4,5,5,5,6,7,7,8,9,9,9,10,10
Bolivar,Mississippi,33.7957674,-90.8760289,0,0,0,0,2,2,2,2,3,4,4,4,6,9,11,11,11,22,25,27,32
Bollinger,Missouri,37.3221502,-90.0258848,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Bon Homme,South Dakota,42.9933604,-97.8866697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bond,Illinois,38.8868247,-89.4355130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3
