County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Brown,Indiana,39.1961871,-86.2273495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,South Dakota,45.5897400,-98.3515913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,Texas,31.7742749,-98.9998503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,Wisconsin,44.4526273,-88.0037092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunswick,North Carolina,34.0705938,-78.2374968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Georgia,32.0142589,-81.4433784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Oklahoma,33.9625096,-96.2507799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchanan,Iowa,42.4707711,-91.8378247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchanan,Missouri,39.6598198,-94.8061198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bucks,Pennsylvania,40.3369404,-75.1067941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Buffalo,Nebraska,40.8557340,-99.0748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullitt,Kentucky,37.9700985,-85.6957676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulloch,Georgia,32.3968474,-81.7431791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullock,Alabama,32.1004473,-85.7159498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulter,Ohio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buncombe,North Carolina,35.6111326,-82.5300939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bureau,Illinois,41.4041499,-89.5286616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burke,Georgia,33.0610979,-82.0007028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burke,North Carolina,35.7495071,-81.7045060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burleigh,North Dakota,46.9780104,-100.4669442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burleson,Texas,30.4924360,-96.6212794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burlington,New Jersey,40.0768700,-74.8577500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Burnet,Texas,30.7885111,-98.1824002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Alabama,31.7524985,-86.6802157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Iowa,42.7315540,-92.7901531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Kansas,37.7812809,-96.8390308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Kentucky,37.2072658,-86.6816972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Ohio,39.4386384,-84.5761677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Pennsylvania,40.9117606,-79.9129822,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Butte,California,39.6670914,-121.6009110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butts,Georgia,33.2878054,-83.9571448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabarrus,North Carolina,35.2372000,-80.5423000,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Cache,Utah,41.7224440,-111.7435477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caddo,Louisiana,32.7563200,-93.9737400,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5
Caddo,Oklahoma,35.1743821,-98.3751833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras,California,38.2047357,-120.5540655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcasieu,Louisiana,30.2296992,-93.3579989,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Caldwell,Louisiana,32.0922523,-92.1165078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell,North Carolina,35.9529619,-81.5465487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell,Texas,29.8371241,-97.6199661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caledonia,Vermont,44.4647375,-72.1023325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,Alabama,33.7713801,-85.8261084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,Georgia,31.5291062,-84.6244857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,Michigan,42.2465365,-85.0055836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,Mississippi,33.9364576,-89.3365118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,South Carolina,33.6759594,-80.7836390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,Texas,28.4870849,-96.6464077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callaway,Missouri,38.8366013,-91.9259208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calloway,Kentucky,36.6212479,-88.2843854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calumet,Wisconsin,44.0834509,-88.1835902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvert,Maryland,38.5402082,-76.5651139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambria,Pennsylvania,40.4952108,-78.7136965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden,Georgia,30.9325025,-81.6711281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden,Missouri,38.0188975,-92.7652237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Camden,New Jersey,39.9452500,-75.1191300,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Camden,South Carolina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Pennsylvania,41.4367477,-78.2038112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Texas,26.1359746,-97.5242397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,Kentucky,38.9435608,-84.3812520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,Tennessee,36.4034563,-84.1493609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,Wyoming,44.2484104,-105.5483854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
