County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
Norfolk,Massachusetts,1045,107,24,24,2.3%,42.119409999999995,-71.33083,2020-04-03 21:59 EDT
Worcester,Massachusetts,825,158,14,14,1.7%,42.26341,-71.80219,2020-04-03 21:59 EDT
Plymouth,Massachusetts,745,124,7,7,0.9%,41.92808,-70.6568,2020-04-03 21:59 EDT
Hampden,Massachusetts,661,115,27,27,4.1%,42.064613,-72.422,2020-04-03 21:59 EDT
Bristol,Massachusetts,517,93,4,4,0.8%,41.79836956,-71.11428121,2020-04-03 21:59 EDT
Barnstable,Massachusetts,314,31,6,6,1.9%,41.70194,-70.30442,2020-04-03 21:59 EDT
Berkshire,Massachusetts,240,27,5,5,2.1%,42.51105,-73.19426,2020-04-03 21:59 EDT
Hampshire,Massachusetts,114,12,3,3,2.6%,42.3402715,-72.66940388,2020-04-03 21:59 EDT
Franklin,Massachusetts,89,4,11,11,12.4%,42.58654867,-72.59777313,2020-04-03 21:59 EDT
Dukes and Nantucket,Massachusetts,16,4,0,0,0.0%,42.312753,-71.30182950000003,2020-04-03 21:59 EDT
Orleans,Louisiana,3476,328,148,148,4.3%,30.03843182,-89.90055149,2020-04-03 21:59 EDT
Jefferson,Louisiana,2495,317,85,85,3.4%,29.9596,-90.17182,2020-04-03 21:59 EDT
St. Tammany,Louisiana,435,36,10,10,2.3%,30.39408,-89.89506999999998,2020-04-03 21:59 EDT
East Baton Rouge,Louisiana,389,64,13,13,3.3%,30.53926541,-91.09217012,2020-04-03 21:59 EDT
Caddo,Louisiana,377,41,10,10,2.7%,32.75632,-93.97374,2020-04-03 21:59 EDT
St. John the Baptist,Louisiana,290,16,17,17,5.9%,30.07866499,-90.54541322,2020-04-03 21:59 EDT
Lafayette,Louisiana,276,29,2,2,0.7%,30.20678822,-92.06389372,2020-04-03 21:59 EDT
Ascension,Louisiana,222,21,7,7,3.2%,30.20549338,-90.90885829999999,2020-04-03 21:59 EDT
St. Charles,Louisiana,210,30,11,11,5.2%,29.905279800000002,-90.3824403,2020-04-03 21:59 EDT
St. Bernard,Louisiana,196,15,7,7,3.6%,29.86715,-89.85868,2020-04-03 21:59 EDT
Lafourche,Louisiana,185,27,3,3,1.6%,29.765290000000004,-90.76881,2020-04-03 21:59 EDT
Calcasieu,Louisiana,119,11,1,1,0.8%,30.229699199999995,-93.35799892,2020-04-03 21:59 EDT
St. James,Louisiana,116,6,4,4,3.4%,30.41825,-91.09344,2020-04-03 21:59 EDT
Ouachita,Louisiana,114,20,1,1,0.9%,32.47831651,-92.15480686,2020-04-03 21:59 EDT
